entry	alignmentStart	alignmentEnd	envelopeStart	envelopeEnd	hmmAacc	hmmName	type	hmmStart	hmmEend	hmmLength	bitScore	eValue	clan	entryName	geneSymbol	length
A0A024R571	75	235	75	235	PF00350	Dynamin_N	Domain	1	168	168	49.2	2.7e-09	CL0023	A0A024R571_HUMAN	EHD1	548
A0A024R571	460	545	453	547	PF12763	EF-hand_4	Family	10	97	104	62.7	1.2e-13	CL0220	A0A024R571_HUMAN	EHD1	548
K7EMV4	2	64	2	74	PF05129	Elf1	Domain	1	62	78	70.4	4.5e-16	CL0167	K7EMV4_HUMAN	ELOF1	120
Q7Z739	417	550	416	551	PF04146	YTH	Domain	2	132	133	141.6	5.2e-38	CL0178	YTHD3_HUMAN	YTHDF3	585
Q29983	25	198	24	200	PF00129	MHC_I	Domain	2	175	179	84.6	2.6e-20	CL0343	MICA_HUMAN	MICA	383
Q29983	214	291	212	295	PF07654	C1-set	Domain	4	83	86	44.9	4.8e-08	CL0011	MICA_HUMAN	MICA	383
A0A024RCN4	48	135	47	136	PF02023	SCAN	Family	2	89	90	127.1	7.8e-34	No_clan	A0A024RCN4_HUMAN	ZNF187	479
A0A024RCN4	283	305	283	305	PF00096	zf-C2H2	Domain	1	23	23	24.5	0.11	CL0361	A0A024RCN4_HUMAN	ZNF187	479
A0A024RCN4	311	333	311	333	PF00096	zf-C2H2	Domain	1	23	23	24.5	0.11	CL0361	A0A024RCN4_HUMAN	ZNF187	479
A0A044PY82	180	290	179	293	PF15304	AKAP2_C	Family	2	168	348	60.2	9.2e-13	No_clan	A0A044PY82_HUMAN	LOC113230	361
A0A044PY82	292	353	290	361	PF15304	AKAP2_C	Family	218	290	348	51.7	3.4e-10	No_clan	A0A044PY82_HUMAN	LOC113230	361
A0A183	1	77	1	77	PF15858	LCE6A	Family	1	81	81	130	1.9e-34	No_clan	LCE6A_HUMAN	LCE6A	80
A0A539	25	112	25	114	PF07686	V-set	Domain	1	92	109	51.9	3e-10	CL0011	A0A539_HUMAN	TCRBV7S3A2	114
A0A542	26	112	25	115	PF07686	V-set	Domain	2	92	109	47.3	8.3e-09	CL0011	A0A542_HUMAN	TCRBV13S5	115
A0A575	25	113	25	116	PF07686	V-set	Domain	1	92	109	68.9	1.7e-15	CL0011	A0A575_HUMAN	TCRBV22S1A2N1T	116
A0A576	25	112	25	114	PF07686	V-set	Domain	1	92	109	53.8	7.9e-11	CL0011	A0A576_HUMAN	TCRBV9S1A1T	114
A0A577	25	112	25	114	PF07686	V-set	Domain	1	92	109	52	2.9e-10	CL0011	A0A577_HUMAN	TCRBV7S1A1N2T	114
A0A578	25	111	25	113	PF07686	V-set	Domain	1	91	109	64.7	3.4e-14	CL0011	A0A578_HUMAN	TCRBV5S1A1T	114
A0A594	25	112	25	115	PF07686	V-set	Domain	1	91	109	59.3	1.5e-12	CL0011	A0A594_HUMAN	TCRBV6S8A2T	116
A0A597	25	111	25	113	PF07686	V-set	Domain	1	91	109	55.9	1.8e-11	CL0011	A0A597_HUMAN	TCRBV5S3A2T	114
A0A598	25	112	25	115	PF07686	V-set	Domain	1	91	109	56.7	1e-11	CL0011	A0A598_HUMAN	TCRBV6S3A1N1T	116
A0A599	25	111	25	113	PF07686	V-set	Domain	1	91	109	59.3	1.5e-12	CL0011	A0A599_HUMAN	TCRBV5S2	114
A0A5A3	25	112	25	115	PF07686	V-set	Domain	1	91	109	57.5	5.5e-12	CL0011	A0A5A3_HUMAN	TCRBV6S4A1	116
A0A5A6	36	112	25	114	PF07686	V-set	Domain	12	91	109	42.5	2.6e-07	CL0011	A0A5A6_HUMAN	TCRBV21S2A2	115
A0A5A9	25	112	25	115	PF07686	V-set	Domain	1	91	109	62.1	2.1e-13	CL0011	A0A5A9_HUMAN	TCRBV8S3	116
A0A5B0	27	113	25	115	PF07686	V-set	Domain	3	92	109	48.4	3.8e-09	CL0011	A0A5B0_HUMAN	TCRBV16S1A1N1	115
A0A5B6	25	111	25	113	PF07686	V-set	Domain	1	91	109	40.6	9.9e-07	CL0011	A0A5B6_HUMAN	TCRBV3S1	114
A0A5B7	29	110	21	111	PF07686	V-set	Domain	9	92	109	47.3	8.2e-09	CL0011	A0A5B7_HUMAN	TCRBV4S1A1T	111
A0A5B9	19	104	16	107	PF07654	C1-set	Domain	4	83	86	69	1.5e-15	CL0011	TRBC2_HUMAN	TRBC2	178
A0A5E8	29	141	27	143	PF00307	CH	Domain	3	97	99	51.3	4.8e-10	CL0188	A0A5E8_HUMAN	GAS2L1	681
Q99501	29	141	27	143	PF00307	CH	Domain	3	97	99	51.3	4.8e-10	CL0188	GA2L1_HUMAN	GAS2L1	681
A0A5E8	208	276	208	276	PF02187	GAS2	Family	1	69	69	111.3	7.6e-29	No_clan	A0A5E8_HUMAN	GAS2L1	681
Q99501	208	276	208	276	PF02187	GAS2	Family	1	69	69	111.3	7.6e-29	No_clan	GA2L1_HUMAN	GAS2L1	681
A0AUZ9	795	915	795	915	PF15275	PEHE	Family	1	129	129	100	6.8e-25	No_clan	KAL1L_HUMAN	KANSL1L	987
A0AV02	45	409	44	415	PF00324	AA_permease	Family	2	386	479	148.6	9.6e-40	CL0062	S12A8_HUMAN	SLC12A8	714
A0AV96	73	137	73	141	PF00076	RRM_1	Domain	1	65	70	53.2	8.5e-11	CL0221	RBM47_HUMAN	RBM47	593
A0AV96	153	214	153	220	PF00076	RRM_1	Domain	1	59	70	25.8	0.03	CL0221	RBM47_HUMAN	RBM47	593
A0AV96	248	311	248	312	PF00076	RRM_1	Domain	1	69	70	46.8	8.5e-09	CL0221	RBM47_HUMAN	RBM47	593
A0AVF1	64	112	63	119	PF13414	TPR_11	Repeat	10	58	68	29.1	0.0036	CL0020	IFT56_HUMAN	TTC26	554
A0AVF1	158	225	157	227	PF13371	TPR_9	Repeat	2	69	73	12.6	490	CL0020	IFT56_HUMAN	TTC26	554
A0AVG3	124	199	124	201	PF13873	Myb_DNA-bind_5	Domain	1	76	78	81.8	1.3e-19	CL0123	A0AVG3_HUMAN	TSNARE1	514
A0AVG3	265	366	264	368	PF14523	Syntaxin_2	Domain	2	100	102	74.6	2.5e-17	CL0445	A0AVG3_HUMAN	TSNARE1	514
A0AVG3	453	505	453	505	PF05739	SNARE	Family	1	53	53	40.5	8.6e-07	No_clan	A0AVG3_HUMAN	TSNARE1	514
A0AVI2	9	91	1	99	PF00168	C2	Domain	10	93	103	29.7	0.0026	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	168	217	167	229	PF00168	C2	Domain	2	57	103	22	0.68	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	309	401	308	410	PF00168	C2	Domain	2	95	103	41	8.2e-07	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	614	663	599	665	PF08165	FerA	Domain	14	63	65	34.6	6.1e-05	No_clan	FR1L5_HUMAN	FER1L5	2093
A0AVI2	687	760	687	760	PF08150	FerB	Domain	1	76	76	89.1	9.7e-22	No_clan	FR1L5_HUMAN	FER1L5	2093
A0AVI2	1104	1157	1103	1197	PF00168	C2	Domain	2	56	103	16.5	35	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	1277	1361	1272	1373	PF00168	C2	Domain	10	89	103	10.9	1900	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	1515	1605	1513	1613	PF00168	C2	Domain	3	91	103	48.1	5.2e-09	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	1843	1881	1757	1890	PF00168	C2	Domain	59	94	103	18.2	10	CL0154	FR1L5_HUMAN	FER1L5	2093
A0AVI2	1932	2022	1923	2025	PF16165	Ferlin_C	Family	63	150	154	64.2	5.7e-14	No_clan	FR1L5_HUMAN	FER1L5	2093
A0AVI4	17	361	17	361	PF10272	Tmpp129	Family	1	354	354	455.2	7.4e-133	No_clan	TM129_HUMAN	TMEM129	362
A0AVK6	114	182	114	182	PF02319	E2F_TDP	Domain	1	65	65	75.1	1.3e-17	CL0123	E2F8_HUMAN	E2F8	867
A0AVK6	262	347	262	347	PF02319	E2F_TDP	Domain	1	65	65	66.9	5e-15	CL0123	E2F8_HUMAN	E2F8	867
Q13443	44	163	34	163	PF01562	Pep_M12B_propep	Family	1	133	133	104.2	2.7e-26	No_clan	ADAM9_HUMAN	ADAM9	819
Q13443	212	406	212	406	PF01421	Reprolysin	Domain	1	199	199	236.8	9e-67	CL0126	ADAM9_HUMAN	ADAM9	819
Q13443	423	498	423	498	PF00200	Disintegrin	Domain	1	78	78	75	2.5e-17	No_clan	ADAM9_HUMAN	ADAM9	819
Q13443	501	616	501	616	PF08516	ADAM_CR	Family	1	115	115	120.1	2.8e-31	No_clan	ADAM9_HUMAN	ADAM9	819
A0AVT1	44	416	44	435	PF00899	ThiF	Domain	1	218	244	98.4	1.8e-24	CL0063	UBA6_HUMAN	UBA6	1052
A0AVT1	225	292	224	293	PF16190	E1_FCCH	Domain	2	70	71	89.2	6.5e-22	No_clan	UBA6_HUMAN	UBA6	1052
A0AVT1	294	361	294	362	PF16191	E1_4HB	Domain	1	68	69	63.5	6.8e-14	No_clan	UBA6_HUMAN	UBA6	1052
A0AVT1	444	937	442	948	PF00899	ThiF	Domain	2	233	244	215.8	2.5e-60	CL0063	UBA6_HUMAN	UBA6	1052
A0AVT1	631	884	631	884	PF10585	UBA_e1_thiolCys	Domain	1	245	245	260.5	8.6e-74	No_clan	UBA6_HUMAN	UBA6	1052
A0AVT1	955	1043	955	1043	PF09358	E1_UFD	Domain	1	93	93	55.7	2.8e-11	No_clan	UBA6_HUMAN	UBA6	1052
A0FGR8	191	370	191	370	PF17047	SMP_LBD	Domain	1	180	180	406.7	3.3e-119	No_clan	ESYT2_HUMAN	ESYT2	921
A0FGR8	385	491	385	491	PF00168	C2	Domain	1	103	103	72.6	1.2e-16	CL0154	ESYT2_HUMAN	ESYT2	921
A0FGR8	540	629	536	635	PF00168	C2	Domain	5	97	103	51	6.1e-10	CL0154	ESYT2_HUMAN	ESYT2	921
A0FGR8	802	910	801	910	PF00168	C2	Domain	2	103	103	53.4	1.1e-10	CL0154	ESYT2_HUMAN	ESYT2	921
A0FGR9	114	290	114	291	PF17047	SMP_LBD	Domain	1	179	180	204.4	4.2e-57	No_clan	ESYT3_HUMAN	ESYT3	886
A0FGR9	307	409	306	410	PF00168	C2	Domain	2	102	103	79.3	1e-18	CL0154	ESYT3_HUMAN	ESYT3	886
A0FGR9	469	551	445	564	PF00168	C2	Domain	9	92	103	41	8.1e-07	CL0154	ESYT3_HUMAN	ESYT3	886
A0FGR9	771	878	769	878	PF00168	C2	Domain	3	103	103	51.9	3.4e-10	CL0154	ESYT3_HUMAN	ESYT3	886
A0JD20	26	113	26	115	PF07686	V-set	Domain	1	92	109	60.8	5.2e-13	CL0011	A0JD20_HUMAN	hDV101S1	116
A0JD25	32	117	32	119	PF07686	V-set	Domain	1	91	109	62.4	1.8e-13	CL0011	A0JD25_HUMAN	hADV29S1	119
A0JD32	26	113	26	116	PF07686	V-set	Domain	1	91	109	74.8	2.4e-17	CL0011	A0JD32_HUMAN	hADV38S2	116
A0JD36	29	113	25	115	PF07686	V-set	Domain	5	92	109	50.2	1e-09	CL0011	A0JD36_HUMAN	hDV102S1	115
A0JD37	23	112	23	113	PF07686	V-set	Domain	1	91	109	55.7	2.1e-11	CL0011	A0JD37_HUMAN	hDV103S1	113
A0JLT2	63	233	63	234	PF10278	Med19	Family	1	177	178	280.1	3.3e-80	No_clan	MED19_HUMAN	MED19	244
J3KR33	63	233	63	234	PF10278	Med19	Family	1	177	178	280.6	2.4e-80	No_clan	J3KR33_HUMAN	MED19	244
Q86TI0	286	378	277	381	PF00640	PID	Domain	49	137	140	32.9	0.00026	CL0266	TBCD1_HUMAN	TBC1D1	1168
Q86TI0	690	745	690	745	PF11830	DUF3350	Family	1	64	64	77.9	2.4e-18	No_clan	TBCD1_HUMAN	TBC1D1	1168
Q86TI0	804	1014	803	1014	PF00566	RabGAP-TBC	Family	2	215	215	175.9	3.7e-48	No_clan	TBCD1_HUMAN	TBC1D1	1168
A0JNW5	3	94	1	103	PF12624	Chorein_N	Family	3	91	116	64.6	3.8e-14	No_clan	UH1BL_HUMAN	UHRF1BP1L	1464
A0M8Q6	14	95	14	100	PF07654	C1-set	Domain	1	82	86	100.8	1.7e-25	CL0011	LAC7_HUMAN	IGLC7	106
A0PG75	47	265	44	266	PF03803	Scramblase	Family	4	220	221	255.5	1.4e-72	CL0395	PLS5_HUMAN	PLSCR5	271
A0PJE2	42	178	41	242	PF00106	adh_short	Domain	2	139	195	81.6	2.2e-19	CL0063	DHR12_HUMAN	DHRS12	317
A0PJK1	50	479	50	479	PF00474	SSF	Family	1	406	406	462.5	5.1e-135	CL0062	SC5AA_HUMAN	SLC5A10	596
A0PJW6	32	200	32	200	PF14640	TMEM223	Family	1	165	165	196.7	1.3e-54	No_clan	TM223_HUMAN	TMEM223	202
M1EA21	13	73	13	95	PF15228	DAP	Family	1	62	96	36.7	3.1e-05	No_clan	M1EA21_HUMAN	DAPL1	199
M1EA21	110	185	109	192	PF13853	7tm_4	Family	2	77	280	47.1	1.1e-08	CL0192	M1EA21_HUMAN	DAPL1	199
A0PJX0	103	168	97	168	PF13499	EF-hand_7	Domain	2	66	66	37.7	8.2e-06	CL0220	CIB4_HUMAN	CIB4	185
A0PJX2	79	213	79	215	PF07534	TLD	Domain	1	137	139	129	6.1e-34	No_clan	TLDC2_HUMAN	TLDC2	215
A0PJX4	25	173	25	207	PF13908	Shisa	Family	1	162	190	186.6	2.3e-51	No_clan	SHSA3_HUMAN	SHISA3	238
A0PJX8	10	315	10	315	PF15816	TMEM82	Family	1	308	308	468.2	4.2e-137	No_clan	TMM82_HUMAN	TMEM82	343
A0PJY2	260	279	260	282	PF00096	zf-C2H2	Domain	1	20	23	24.2	0.13	CL0361	FEZF1_HUMAN	FEZF1	475
A0PJY2	316	338	315	340	PF13912	zf-C2H2_6	Domain	2	24	27	14.4	120	CL0361	FEZF1_HUMAN	FEZF1	475
A0PJY2	372	395	371	397	PF13912	zf-C2H2_6	Domain	2	25	27	14.9	85	CL0361	FEZF1_HUMAN	FEZF1	475
A0PJY2	400	423	400	423	PF00096	zf-C2H2	Domain	1	23	23	24.1	0.15	CL0361	FEZF1_HUMAN	FEZF1	475
A0PJZ0	37	130	37	130	PF12796	Ank_2	Repeat	1	86	86	52.7	2.7e-10	CL0465	A20A5_HUMAN	ANKRD20A5P	165
A0PJZ0	132	159	132	161	PF13606	Ank_3	Repeat	1	28	30	19.3	5.2	CL0465	A20A5_HUMAN	ANKRD20A5P	165
A0PJZ3	114	360	111	363	PF01501	Glyco_transf_8	Family	4	244	256	47.5	7.6e-09	CL0110	GXLT2_HUMAN	GXYLT2	443
A0PK00	10	331	9	332	PF07851	TMPIT	Family	2	323	324	522.9	1.4e-153	No_clan	T120B_HUMAN	TMEM120B	339
A0PK05	4	189	2	189	PF16054	TMEM72	Family	3	182	182	271.6	1.3e-77	No_clan	TMM72_HUMAN	TMEM72	275
Q6KF10	71	281	64	281	PF00688	TGFb_propeptide	Family	37	240	240	73.3	1.1e-16	No_clan	GDF6_HUMAN	GDF6	455
Q6KF10	353	454	352	454	PF00019	TGF_beta	Domain	2	104	104	112.4	7.5e-29	CL0079	GDF6_HUMAN	GDF6	455
C9J587	7	188	7	188	PF15419	LNP1	Family	1	179	179	264.2	3.1e-75	No_clan	C9J587_HUMAN	LNP1	191
A1A4S6	6	249	6	249	PF16746	BAR_3	Domain	1	238	238	299.5	8.2e-86	CL0145	RHG10_HUMAN	ARHGAP10	786
A1A4S6	269	367	266	369	PF00169	PH	Domain	4	101	106	32.3	0.00048	CL0266	RHG10_HUMAN	ARHGAP10	786
A1A4S6	398	548	397	551	PF00620	RhoGAP	Domain	3	149	152	139.9	2.4e-37	CL0409	RHG10_HUMAN	ARHGAP10	786
A1A4S6	735	784	735	784	PF14604	SH3_9	Domain	1	49	49	38.3	3.8e-06	CL0010	RHG10_HUMAN	ARHGAP10	786
H3BTQ9	127	183	126	209	PF14769	CLAMP	Family	2	58	99	48.4	4.5e-09	No_clan	H3BTQ9_HUMAN	CCDC189	396
H3BTQ9	245	288	241	289	PF14769	CLAMP	Family	55	98	99	50.6	8.8e-10	No_clan	H3BTQ9_HUMAN	CCDC189	396
A1A4Y4	5	180	2	181	PF05049	IIGP	Family	7	190	375	219.8	2.6e-61	CL0023	IRGM_HUMAN	IRGM	181
Q8NA54	142	200	138	202	PF00240	ubiquitin	Domain	6	64	69	23.8	0.11	CL0072	IQUB_HUMAN	IQUB	791
Q9HCX4	51	128	48	133	PF12796	Ank_2	Repeat	5	78	86	28.5	0.0093	CL0465	TRPC7_HUMAN	TRPC7	862
Q9HCX4	198	260	198	260	PF08344	TRP_2	Family	1	63	63	88.2	1.4e-21	No_clan	TRPC7_HUMAN	TRPC7	862
Q9HCX4	395	683	387	684	PF00520	Ion_trans	Family	10	241	242	113.7	3.4e-29	CL0030	TRPC7_HUMAN	TRPC7	862
A1A580	1	41	1	53	PF05287	PMG	Family	1	40	180	32.7	0.00032	CL0520	KR231_HUMAN	KRTAP23-1	65
A1A5B4	179	735	179	739	PF04547	Anoctamin	Family	1	368	372	394.9	1.7e-114	CL0416	ANO9_HUMAN	ANO9	782
C9J4Z0	235	634	217	637	PF00083	Sugar_tr	Family	54	445	452	81.4	2.7e-19	CL0015	C9J4Z0_HUMAN	SLC22A23	694
Q8N4S9	193	360	185	361	PF01284	MARVEL	Domain	6	143	144	61.1	5.3e-13	CL0396	MALD2_HUMAN	MARVELD2	558
Q8N4S9	446	548	446	548	PF07303	Occludin_ELL	Domain	1	101	101	105.3	1.1e-26	No_clan	MALD2_HUMAN	MARVELD2	558
A1E5M1	224	445	224	458	PF00233	PDEase_I	Domain	1	220	231	251.2	4.7e-71	CL0237	A1E5M1_HUMAN	PDE7B	502
A1E959	16	279	16	279	PF15424	ODAM	Family	1	264	264	481.5	3.2e-141	No_clan	ODAM_HUMAN	ODAM	279
A1IGU5	35	212	34	212	PF00621	RhoGEF	Domain	2	180	180	132.5	7.6e-35	No_clan	ARH37_HUMAN	ARHGEF37	675
A1IGU5	511	561	510	566	PF07653	SH3_2	Domain	2	49	55	24.8	0.058	CL0010	ARH37_HUMAN	ARHGEF37	675
A1IGU5	608	657	608	657	PF00018	SH3_1	Domain	1	48	48	33.9	7.6e-05	CL0010	ARH37_HUMAN	ARHGEF37	675
A1KXE4	1	52	1	53	PF14944	TCRP1	Family	1	52	243	83.7	8.8e-20	No_clan	F168B_HUMAN	FAM168B	195
A1KXE4	53	195	50	195	PF14944	TCRP1	Family	101	243	243	287.7	4.2e-82	No_clan	F168B_HUMAN	FAM168B	195
A1KZ92	52	110	50	110	PF13855	LRR_8	Repeat	3	61	61	52.6	1.3e-10	CL0022	PXDNL_HUMAN	PXDNL	1463
A1KZ92	123	182	122	182	PF13855	LRR_8	Repeat	2	61	61	49.3	1.3e-09	CL0022	PXDNL_HUMAN	PXDNL	1463
A1KZ92	234	317	234	321	PF07679	I-set	Domain	1	85	90	65.9	1.1e-14	CL0011	PXDNL_HUMAN	PXDNL	1463
A1KZ92	330	415	330	415	PF07679	I-set	Domain	1	90	90	55	2.9e-11	CL0011	PXDNL_HUMAN	PXDNL	1463
A1KZ92	419	505	419	505	PF07679	I-set	Domain	1	90	90	60.2	6.7e-13	CL0011	PXDNL_HUMAN	PXDNL	1463
A1KZ92	512	597	511	597	PF07679	I-set	Domain	2	90	90	70.9	3.1e-16	CL0011	PXDNL_HUMAN	PXDNL	1463
A1KZ92	727	1272	727	1272	PF03098	An_peroxidase	Family	1	514	514	598.6	4.6e-176	No_clan	PXDNL_HUMAN	PXDNL	1463
A1KZ92	1398	1450	1395	1450	PF00093	VWC	Family	3	57	57	30	0.0022	CL0451	PXDNL_HUMAN	PXDNL	1463
A1L020	134	193	133	193	PF00013	KH_1	Domain	2	62	62	37.3	7.4e-06	CL0007	MEX3A_HUMAN	MEX3A	520
A1L020	225	284	225	284	PF00013	KH_1	Domain	1	62	62	51	3.8e-10	CL0007	MEX3A_HUMAN	MEX3A	520
A1L020	468	510	466	515	PF13920	zf-C3HC4_3	Domain	4	45	50	39.4	1.8e-06	CL0229	MEX3A_HUMAN	MEX3A	520
A1L0T0	53	214	52	219	PF02776	TPP_enzyme_N	Domain	2	165	172	167.9	6.7e-46	CL0254	ILVBL_HUMAN	ILVBL	632
A1L0T0	273	403	273	405	PF00205	TPP_enzyme_M	Domain	1	135	137	57.6	4.8e-12	CL0085	ILVBL_HUMAN	ILVBL	632
A1L0T0	467	618	467	618	PF02775	TPP_enzyme_C	Domain	1	153	153	96	8e-24	CL0254	ILVBL_HUMAN	ILVBL	632
A1L157	16	246	14	248	PF00335	Tetraspannin	Family	2	215	217	174.5	1.1e-47	CL0347	TSN11_HUMAN	TSPAN11	253
A1L167	1	111	1	149	PF00179	UQ_con	Domain	3	105	140	42.3	2.4e-07	CL0208	U2QL1_HUMAN	UBE2QL1	161
A1L170	1	272	1	272	PF15429	DUF4628	Family	1	275	275	398.1	1.1e-115	No_clan	CA226_HUMAN	C1orf226	272
A1L190	1	85	1	85	PF15191	Synaptonemal_3	Family	1	92	92	140.9	3.6e-38	No_clan	SYCE3_HUMAN	SYCE3	88
Q7Z406	108	788	107	788	PF00063	Myosin_head	Domain	2	677	677	954.9	9.8e-284	CL0023	MYH14_HUMAN	MYH14	1995
Q7Z406	865	1945	865	1945	PF01576	Myosin_tail_1	Family	1	1081	1081	1497.5	0	No_clan	MYH14_HUMAN	MYH14	1995
A1L390	97	271	97	271	PF00621	RhoGEF	Domain	1	180	180	152.7	4.7e-41	No_clan	PKHG3_HUMAN	PLEKHG3	1219
A1L390	317	393	297	394	PF00169	PH	Domain	21	105	106	32.3	0.00048	CL0266	PKHG3_HUMAN	PLEKHG3	1219
A1L3X0	30	265	29	269	PF01151	ELO	Family	2	246	250	216.7	1.6e-60	No_clan	ELOV7_HUMAN	ELOVL7	281
A1L3X4	1	48	1	49	PF00131	Metallothio	Domain	1	48	64	54.2	5.1e-11	CL0461	MT1DP_HUMAN	MT1DP	49
A1L429	1	114	1	114	PF05831	GAGE	Family	1	110	110	131.3	8.7e-35	No_clan	GG12C_HUMAN	GAGE12B; GAGE12C; GAGE12D; GAGE12E	117
A1L443	14	753	14	753	PF12881	NUT	Family	1	740	740	1122.9	0	No_clan	NTM2F_HUMAN	NUTM2F	756
A1L453	60	288	60	288	PF00089	Trypsin	Domain	1	220	220	196.7	2e-54	CL0124	PRS38_HUMAN	PRSS38	326
A1L4H1	24	119	23	120	PF00530	SRCR	Domain	2	99	100	102.2	7.9e-26	CL0550	SRCRL_HUMAN	SSC5D	1573
A1L4H1	202	297	201	298	PF00530	SRCR	Domain	2	99	100	106.3	4.1e-27	CL0550	SRCRL_HUMAN	SSC5D	1573
A1L4H1	308	403	307	404	PF00530	SRCR	Domain	2	99	100	100.7	2.3e-25	CL0550	SRCRL_HUMAN	SSC5D	1573
A1L4H1	471	567	470	568	PF00530	SRCR	Domain	2	99	100	105.9	5.6e-27	CL0550	SRCRL_HUMAN	SSC5D	1573
A1L4H1	776	871	775	872	PF00530	SRCR	Domain	2	99	100	100.9	2e-25	CL0550	SRCRL_HUMAN	SSC5D	1573
